Iteration,Discriminator Loss,Generator Loss
3340,1.291269,0.608065
3350,1.310577,0.637785
3350,1.310577,0.637785
3360,1.263719,0.631129
3360,1.263719,0.631129
3370,1.297866,0.645925
3370,1.297866,0.645925
3380,1.261247,0.549071
3380,1.261247,0.549071
3390,1.247914,0.571254
3390,1.247914,0.571254
3400,1.316384,0.685047
3400,1.316384,0.685047
3410,1.262308,0.689450
3410,1.262308,0.689450
3420,1.331499,0.615015
3420,1.331499,0.615015
3430,1.310905,0.640964
3430,1.310905,0.640964
3440,1.282029,0.669231
3440,1.282029,0.669231
3450,1.274849,0.665426
3450,1.274849,0.665426
3460,1.304801,0.619364
3460,1.304801,0.619364
3470,1.280505,0.820419
3470,1.280505,0.820419
3480,1.291868,0.652822
3480,1.291868,0.652822
3490,1.287911,0.756725
3490,1.287911,0.756725
3500,1.307303,0.811519
3500,1.307303,0.811519
3510,1.342905,0.668023
3510,1.342905,0.668023
3520,1.257764,0.682540
3520,1.257764,0.682540
3530,1.282085,0.659301
3530,1.282085,0.659301
3540,1.337385,0.642923
3540,1.337385,0.642923
3550,1.339990,0.654506
3550,1.339990,0.654506
3560,1.315559,0.651681
3560,1.315559,0.651681
3570,1.296104,0.604655
3570,1.296104,0.604655
3580,1.312427,0.633501
3580,1.312427,0.633501
3590,1.228188,0.522690
3590,1.228188,0.522690
3600,1.276593,0.600565
3600,1.276593,0.600565
3610,1.324181,0.806358
3610,1.324181,0.806358
3620,1.234333,0.652927
3620,1.234333,0.652927
3630,1.306994,0.628022
3630,1.306994,0.628022
3640,1.326092,0.644482
3640,1.326092,0.644482
3650,1.289296,0.669629
3650,1.289296,0.669629
3660,1.318272,0.718606
3660,1.318272,0.718606
3670,1.289641,0.682136
3670,1.289641,0.682136
3680,1.262791,0.690151
3680,1.262791,0.690151
3690,1.332077,0.686862
3690,1.332077,0.686862
3700,1.320377,0.724171
3700,1.320377,0.724171
3710,1.314981,0.732665
3710,1.314981,0.732665
3720,1.313341,0.775923
3720,1.313341,0.775923
3730,1.286089,0.677729
3730,1.286089,0.677729
3740,1.274616,0.806822
3740,1.274616,0.806822
3750,1.313453,0.834684
3750,1.313453,0.834684
3760,1.308700,0.597883
3760,1.308700,0.597883
3770,1.298354,0.677402
3770,1.298354,0.677402
3780,1.307953,0.662108
3780,1.307953,0.662108
3790,1.308181,0.677626
3790,1.308181,0.677626
3800,1.273194,0.690008
3800,1.273194,0.690008
3810,1.284477,0.664245
3810,1.284477,0.664245
3820,1.264695,0.657755
3820,1.264695,0.657755
3830,1.330721,0.744798
3830,1.330721,0.744798
3840,1.272092,0.752460
3840,1.272092,0.752460
3850,1.283528,0.685568
3850,1.283528,0.685568
3860,1.312171,0.687292
3860,1.312171,0.687292
